id_title;title;commentCount;dislikeCount;likeCount;viewCount;commentators_uniq;comments_obscene_cnt;video_age
9632;Запись с Соколовским и Дакотой/ Руки-базуки/ Прыгаю с Машей Маевой/ Новогодний фотосет;811;169;11806;202498;520;5;427
9633;Заплаканная;2;92;1855;121692;;;281
9634;Заплата на заплате;0;0;7;172;;;210
9635;Заплата на заплате;1;1;14;1379;;;490
9636;Заплата на заплате;0;1;39;2663;;;490
9637;Заповедная песня;0;0;11;1790;;;1577
9638;"Заполняйте зал (с DVD ""Live: Клуб Точка"")";18;5;180;23171;13;1;3489
9639;Запомни и запиши;13;23;437;42664;7;0;1427
9640;Запорожье, 21 октября 2009;2;2;24;1861;;;3417
9641;Зара и Стас Михайлов - Поделим (Live 2017);38;70;1113;202697;;;734
9642;Засыпай (feat. Мот);49;126;2474;185261;21;0;661
9643;Заткнись и держи меня за руку (feat. Шура Кузнецова);0;25;244;10055;;;379
9644;Заходите гости (Гости дорогие);0;0;1;925;;;153
9645;Зачем Вам Это Знать;0;25;62;4914;;;276
9646;Зачем топтать мою любовь;0;84;106;4271;;;379
9647;Зачем ты это слушаешь, выключи;1;2;99;7064;;;966
9648;Зачем?;0;0;8;698;;;378
9649;Зачем?! (feat. Мастер ШЕFF);0;1;3;420;;;597
9650;Зачем?! (feat. Мастер ШЕFF);0;1;5;325;;;728
9651;Звезда;2;29;352;45288;2;0;361
9652;Звезда (Прозрачный);0;0;3;321;;;1360
9653;Звезда (Пропавший без вести);1;2;18;1200;1;0;917
9654;"Звезда (Санкт-Петербург, БКЗ, Сольный концерт ""Это же я"")";8;2;139;5940;8;0;557
9655;Звезда-старуха (Галя ходи);0;6;31;3772;;;279
9656;Звезда. Группа Кукрыниксы - живой концерт. Соль Захара Прилепина на РЕН ТВ;1;0;65;3075;1;0;702
9657;Звездный гость МОТ;8;11;182;12886;8;0;1625
9658;"Звездный лот от Нюши. Шорты из клипа ""Больно""";4;10;62;19159;;;2428
9659;Звездопад;0;1;9;769;;;374
9660;Звездопад;0;2;15;1167;;;51
9661;"Звездочат с Дмитрием ""Сидом"" Спириным (часть 1)";4;2;18;4453;3;1;2933
9662;Звездочет;0;24;59;3837;;;304
9663;Звездочёт;0;61;199;13369;;;226
9664;Звездочёт (Depressive Robot Version 2006);0;0;5;1267;;;226
9665;"Звезды ""Новой Волны"" - Чем измерить Сочи?";368;129;2402;187840;158;1;769
9666;Звезды Русского радио в Крокусе, Др EuropaPlus, Formula1 (Один день с Ю);34;7;396;11036;26;0;672
9667;Звезды Шансона - Владимирский централ;8;3;125;15292;8;0;1569
9668;Звери - Брюнетки и блондинки;770;796;19827;4823293;352;24;1756
9669;"Звери - Видео с съемок клипа ""Клятвы""";4;5;201;31425;4;0;1399
9670;Звери - Все, что тебя касается;656;695;20256;3917647;333;11;1756
9671;Звери - Говори;128;121;3383;469990;66;1;1756
9672;Звери - Для тебя;331;323;8385;2021057;157;3;1756
9673;Звери - До скорой встречи;5999;9227;170768;33131072;1885;84;1756
